home-name,away-name,home-result,away-result,home-win,away-win,home-odds-avg,home-odds-max,draw-odds-avg,draw-odds-max,away-odds-avg,away-odds-max,date-start-timestamp
Arsenal,Newcastle,2,0,True,False,0.51,0.54,3.57,3.7,5.38,5.75,1638016200
Norwich,Wolves,0,0,False,False,2.63,2.85,2.34,2.43,1.17,1.24,1638025200
Liverpool,Southampton,4,0,True,False,0.26,0.3,5.46,5.8,10.77,12.0,1638025200
Crystal Palace,Aston Villa,1,2,False,True,1.3,1.38,2.29,2.57,2.31,2.43,1638025200
Brighton,Leeds,0,0,False,False,1.17,1.25,2.36,2.62,2.52,2.68,1638034200
Manchester City,West Ham,2,1,True,False,0.27,0.31,5.33,5.9,10.14,11.0,1638108000
Leicester,Watford,4,2,True,False,0.7,0.76,2.88,3.05,4.2,4.81,1638108000
Brentford,Everton,1,0,True,False,1.24,1.31,2.26,2.35,2.51,2.64,1638108000
Chelsea,Manchester Utd,1,1,False,False,0.56,0.59,3.21,3.36,5.46,6.16,1638117000
Newcastle,Norwich,1,1,False,False,1.07,1.15,2.52,2.6,2.7,3.12,1638300600
Leeds,Crystal Palace,1,0,True,False,1.25,1.36,2.36,2.48,2.4,2.55,1638303300
Wolves,Burnley,0,0,False,False,0.96,1.05,2.37,2.5,3.36,3.94,1638387000
West Ham,Brighton,1,1,False,False,0.99,1.05,2.44,2.65,3.12,3.49,1638387000
Watford,Chelsea,1,2,False,True,9.01,10.04,4.42,4.63,0.32,0.35,1638387000
Southampton,Leicester,2,2,False,False,1.35,1.42,2.47,2.57,2.1,2.25,1638387000
Everton,Liverpool,1,4,False,True,7.57,8.3,4.2,4.7,0.38,0.41,1638389700
Aston Villa,Manchester City,1,2,False,True,6.54,7.0,3.63,3.8,0.45,0.48,1638389700
Tottenham,Brentford,2,0,True,False,0.65,0.69,2.96,3.2,4.54,5.06,1638473400
Manchester Utd,Arsenal,3,2,True,False,1.07,1.18,2.65,2.82,2.59,2.85,1638476100
West Ham,Chelsea,3,2,True,False,3.87,4.19,2.7,2.81,0.79,0.84,1638621000
Wolves,Liverpool,0,1,False,True,7.42,8.6,4.0,4.25,0.39,0.44,1638630000
