home-name,away-name,home-elo,away-elo,home-win-odds,draw-odds,away-win-odds,home-result,away-result,match-date,epoch_time,home-win-elo,draw-elo,away-win-elo,home_win_elo_bookies_draw_odds,away_win_elo_bookies_draw_odds,draw_elo_bookies_draw_odds
Wolves,Chelsea,969.3110816141692,1016.5640313637726,0.3278688524590164,0.29411764705882354,0.4184100418410042,2,5,2019-09-14 15:00:00,1568469600.0,0.4758431333126983,0.0,0.5241568666873018,0.33588927057366935,0.3699930823675071,0.29411764705882354
Tottenham,Crystal Palace,1015.4716390523847,999.9312542203321,0.7092198581560284,0.20202020202020202,0.1288659793814433,4,0,2019-09-14 15:00:00,1568469600.0,0.47393575102015595,0.0,0.526064248979844,0.3781911548544679,0.4197886431253301,0.20202020202020202
Sheffield Utd,Southampton,982.8102527776673,1004.5283614769527,0.40485829959514175,0.3067484662576687,0.32894736842105265,0,1,2019-09-14 15:00:00,1568469600.0,0.5162915711240709,0.0,0.48370842887592913,0.3579199235400001,0.3353316102023312,0.3067484662576687
Manchester Utd,Leicester,1014.9105342763032,1013.7070310747838,0.4716981132075471,0.29940119760479045,0.267379679144385,1,0,2019-09-14 15:00:00,1568469600.0,0.45135420054437786,0.0,0.5486457994556222,0.31621821235743836,0.3843805900377712,0.29940119760479045
Brighton,Burnley,982.2834499511198,985.9781266528673,0.4672897196261683,0.2949852507374631,0.2777777777777778,1,1,2019-09-14 15:00:00,1568469600.0,0.4941438271672151,0.0,0.5058561728327848,0.34837868640992453,0.35663606285261235,0.2949852507374631
Norwich,Manchester City,987.6415865601945,1026.7936270935243,0.03968253968253968,0.0846740050804403,0.9174311926605504,3,2,2019-09-14 17:30:00,1568478600.0,0.3892708503333842,0.0,0.6107291496666158,0.3563097283745879,0.5590162665449718,0.0846740050804403
Bournemouth,Everton,1001.4106777907789,995.9551419562036,0.29673590504451036,0.2857142857142857,0.4566210045662101,3,1,2019-09-15 14:00:00,1568552400.0,0.4580331221757888,0.0,0.5419668778242113,0.3271665158398491,0.3871191984458652,0.2857142857142857
Watford,Arsenal,957.7473384389632,1012.358198380369,0.24330900243309006,0.2590673575129534,0.53475935828877,2,2,2019-09-15 16:30:00,1568561400.0,0.41437433276357816,0.0,0.5856256672364218,0.30702346935332475,0.43390917313372185,0.2590673575129534
Aston Villa,West Ham,973.5687312219487,1013.8668699597752,0.36764705882352944,0.2785515320334262,0.3968253968253968,0,0,2019-09-16 20:00:00,1568660400.0,0.43650269391373353,0.0,0.5634973060862665,0.31491419978734536,0.40653426817922844,0.2785515320334262
Southampton,Bournemouth,988.3847906908669,1017.5542485768647,0.4587155963302753,0.2808988764044944,0.3003003003003003,1,3,2019-09-20 20:00:00,1569006000.0,0.5044865870651789,0.0,0.4955134129348211,0.362776871597432,0.3563242519980736,0.2808988764044944
Leicester,Tottenham,1029.7882935765272,999.3903765506415,0.36496350364963503,0.29069767441860467,0.3846153846153846,2,1,2019-09-21 12:30:00,1569065400.0,0.4974605468205218,0.0,0.5025394531794782,0.3528499227447887,0.3564524028366066,0.29069767441860467
Manchester City,Watford,1039.6551368844223,944.8858286480652,0.9009009009009008,0.09259259259259259,0.04297378599054577,8,0,2019-09-21 15:00:00,1569074400.0,0.5980778190344381,0.0,0.40192218096556187,0.5427002431979161,0.36470716420949134,0.09259259259259259
Everton,Sheffield Utd,979.3500861063654,999.4153086275055,0.5714285714285714,0.2801120448179272,0.1890359168241966,0,2,2019-09-21 15:00:00,1569074400.0,0.5189079953074426,0.0,0.4810920046925574,0.37355561566950346,0.34633233951256936,0.2801120448179272
Burnley,Norwich,1002.0547312272346,971.5649819858272,0.49504950495049505,0.267379679144385,0.2770083102493075,2,0,2019-09-21 15:00:00,1569074400.0,0.4976061070510249,0.0,0.5023938929489751,0.3645563458074354,0.3680639750481796,0.267379679144385
