home-name,away-name,home-result,away-result,home-win,away-win,home-odds-avg,home-odds-max,draw-odds-avg,draw-odds-max,away-odds-avg,away-odds-max
Burnley,Newcastle,1,0,True,False,0.99,1.05,2.48,2.58,3.0,3.2
Southampton,West Ham,0,1,False,True,0.82,0.95,3.0,3.12,3.16,3.35
Wolves,Tottenham,1,2,False,True,1.89,1.95,2.59,2.65,1.42,1.47
Manchester Utd,Everton,1,1,False,False,0.66,0.71,2.99,3.13,4.29,4.6
Arsenal,Manchester City,0,3,False,True,5.55,6.29,4.86,5.26,0.39,0.42
Crystal Palace,Brighton,1,1,False,False,1.8,1.88,2.24,2.3,1.69,1.75
Everton,Arsenal,0,0,False,False,1.14,1.22,2.83,2.9,2.23,2.36
Norwich,Wolves,1,2,False,True,3.0,3.25,2.8,2.98,0.9,1.0
Newcastle,Crystal Palace,1,0,True,False,1.43,1.53,2.1,2.16,2.26,2.4
Brighton,Sheffield Utd,0,1,False,True,1.18,1.35,2.37,2.5,2.53,2.8
Bournemouth,Burnley,0,1,False,True,1.42,1.51,2.32,2.4,2.07,2.22
Aston Villa,Southampton,1,3,False,True,1.5,1.6,2.67,2.84,1.72,1.86
Manchester City,Leicester,3,1,True,False,0.38,0.42,4.65,5.0,6.29,6.8
Watford,Manchester Utd,2,0,True,False,3.72,4.0,2.84,2.92,0.76,0.81
Tottenham,Chelsea,0,2,False,True,1.32,1.4,2.59,2.68,2.04,2.3
Tottenham,Brighton,2,1,True,False,0.51,0.54,3.5,3.62,5.27,5.75
Sheffield Utd,Watford,1,1,False,False,0.82,0.87,2.57,2.7,3.68,3.95
Everton,Burnley,1,0,True,False,0.74,0.78,2.68,2.75,4.12,4.36
Crystal Palace,West Ham,2,1,True,False,1.26,1.33,2.42,2.55,2.25,2.32
Chelsea,Southampton,0,2,False,True,0.38,0.41,4.08,4.35,7.36,8.5
Bournemouth,Arsenal,1,1,False,False,2.91,3.32,3.09,3.3,0.86,0.91
Aston Villa,Norwich,1,0,True,False,1.21,1.3,2.72,2.84,2.13,2.27
Manchester Utd,Newcastle,4,1,True,False,0.35,0.4,4.36,4.6,7.54,8.6
Leicester,Liverpool,0,4,False,True,2.57,2.84,3.03,3.17,0.95,1.0
Wolves,Manchester City,3,2,True,False,6.03,6.5,4.41,4.7,0.4,0.44
Brighton,Bournemouth,2,0,True,False,0.82,0.9,2.78,2.9,3.45,3.66
Watford,Aston Villa,3,0,True,False,0.79,0.9,3.01,3.2,3.26,3.55
Southampton,Crystal Palace,1,1,False,False,0.96,1.1,2.56,2.66,3.02,3.25
Newcastle,Everton,1,2,False,True,2.28,2.46,2.35,2.46,1.29,1.35
West Ham,Leicester,1,2,False,True,1.56,1.66,2.64,2.75,1.66,1.78
Norwich,Tottenham,2,2,False,False,3.88,4.35,3.44,3.7,0.64,0.68
Burnley,Manchester Utd,0,2,False,True,3.24,3.46,2.64,2.78,0.89,0.94
Arsenal,Chelsea,1,2,False,True,1.92,2.06,2.71,2.88,1.33,1.37
Liverpool,Wolves,1,0,True,False,0.27,0.33,5.13,5.65,10.0,11.75
Manchester City,Sheffield Utd,2,0,True,False,0.23,0.25,5.93,6.6,11.24,12.5
Burnley,Aston Villa,1,2,False,True,0.95,1.03,2.44,2.61,3.17,3.35
Brighton,Chelsea,1,1,False,False,2.85,2.96,2.92,3.08,0.9,0.96
Watford,Wolves,2,1,True,False,2.24,2.58,2.29,2.46,1.34,1.45
Southampton,Tottenham,1,0,True,False,2.55,2.94,2.82,2.98,1.01,1.1
Newcastle,Leicester,0,3,False,True,3.23,3.74,2.87,3.06,0.82,0.89
West Ham,Bournemouth,4,0,True,False,0.9,0.97,2.65,2.78,3.16,3.54
Norwich,Crystal Palace,1,1,False,False,1.39,1.58,2.39,2.48,2.06,2.25
Manchester City,Everton,2,1,True,False,0.31,0.34,4.77,5.1,8.23,9.5
Arsenal,Manchester Utd,2,0,True,False,1.66,1.86,2.67,2.78,1.55,1.67
Liverpool,Sheffield Utd,2,0,True,False,0.28,0.3,4.71,5.05,10.79,12.5
Sheffield Utd,West Ham,1,0,True,False,0.94,1.03,2.43,2.57,3.27,3.6
Crystal Palace,Arsenal,1,1,False,False,3.55,3.78,2.91,3.1,0.77,0.85
Wolves,Newcastle,1,1,False,False,0.46,0.5,3.42,3.6,6.6,7.3
Manchester Utd,Norwich,4,0,True,False,0.34,0.36,4.37,4.66,8.03,9.25
Leicester,Southampton,1,2,False,True,0.7,0.73,2.92,3.1,4.06,4.3
Everton,Brighton,1,0,True,False,0.94,1.0,2.7,2.96,2.94,3.1
Chelsea,Burnley,3,0,True,False,0.33,0.36,4.3,4.7,8.67,9.25
Tottenham,Liverpool,0,1,False,True,3.86,4.2,3.07,3.23,0.69,0.75
Bournemouth,Watford,0,3,False,True,1.57,1.66,2.42,2.58,1.79,1.88
Aston Villa,Manchester City,1,6,False,True,14.78,17.0,8.21,10.0,0.15,0.17
Watford,Tottenham,0,0,False,False,2.13,2.28,2.66,2.84,1.24,1.34
West Ham,Everton,1,1,False,False,1.92,2.0,2.44,2.5,1.45,1.5
Southampton,Wolves,2,3,False,True,1.6,1.66,2.15,2.29,1.95,2.04
Norwich,Bournemouth,1,0,True,False,1.26,1.3,2.5,2.58,2.19,2.26
Manchester City,Crystal Palace,2,2,False,False,0.09,0.12,10.45,12.5,27.6,34.0
Brighton,Aston Villa,1,1,False,False,0.69,0.75,3.15,3.3,3.79,4.05
Arsenal,Sheffield Utd,1,1,False,False,0.96,1.09,2.42,2.7,3.23,3.7
Newcastle,Chelsea,1,0,True,False,4.72,5.25,3.39,3.7,0.57,0.61
Burnley,Leicester,2,1,True,False,3.35,3.68,2.69,2.8,0.85,0.92
Liverpool,Manchester Utd,2,0,True,False,0.44,0.48,3.68,3.88,6.41,7.2
Crystal Palace,Southampton,0,2,False,True,1.75,1.9,2.19,2.26,1.76,2.04
Sheffield Utd,Manchester City,0,1,False,True,7.04,8.1,3.84,4.15,0.41,0.45
Everton,Newcastle,2,2,False,False,0.52,0.6,3.28,3.45,5.89,6.5
