home-name,away-name,home-result,away-result,home-win,away-win,home-odds-avg,home-odds-max,draw-odds-avg,draw-odds-max,away-odds-avg,away-odds-max,date-start-timestamp
Burnley,Sheffield Utd,1,0,True,False,1.39,1.45,2.19,2.27,2.25,2.4,1609264800
Brighton,Arsenal,0,1,False,True,2.69,2.94,2.47,2.72,1.08,1.15,1609264800
Manchester Utd,Wolves,1,0,True,False,0.55,0.58,3.3,3.45,5.25,5.75,1609272000
Newcastle,Liverpool,0,0,False,False,9.52,10.5,5.04,5.45,0.28,0.3,1609358400
Everton,West Ham,0,1,False,True,1.22,1.3,2.47,2.57,2.34,2.55,1609522200
Manchester Utd,Aston Villa,2,1,True,False,0.7,0.75,3.14,3.4,3.77,4.25,1609531200
Tottenham,Leeds,3,0,True,False,0.86,0.9,2.98,3.08,3.03,3.36,1609590600
Crystal Palace,Sheffield Utd,2,0,True,False,1.07,1.15,2.28,2.47,2.97,3.23,1609599600
Brighton,Wolves,3,3,False,False,1.83,2.05,2.05,2.18,1.79,2.0,1609608600
West Brom,Arsenal,0,4,False,True,5.18,5.51,3.03,3.14,0.59,0.63,1609617600
Newcastle,Leicester,1,2,False,True,5.02,5.57,3.08,3.21,0.59,0.63,1609683300
Chelsea,Manchester City,1,3,False,True,2.41,2.5,2.62,2.78,1.13,1.2,1609691400
Southampton,Liverpool,1,0,True,False,5.09,5.57,3.83,4.11,0.5,0.52,1609790400
Sheffield Utd,Newcastle,1,0,True,False,1.37,1.47,2.13,2.23,2.37,2.58,1610474400
Wolves,Everton,1,2,False,True,1.59,1.73,1.95,2.15,2.18,2.25,1610482500
Burnley,Manchester Utd,0,1,False,True,6.87,7.65,3.88,4.05,0.42,0.44,1610482500
Manchester City,Brighton,1,0,True,False,0.17,0.2,6.81,7.52,16.2,19.0,1610560800
Tottenham,Fulham,1,1,False,False,0.63,0.66,2.84,3.0,5.14,5.64,1610568900
Arsenal,Crystal Palace,0,0,False,False,0.69,0.74,2.84,3.08,4.41,4.79,1610654400
Wolves,West Brom,2,3,False,True,0.64,0.67,2.73,2.85,5.21,5.53,1610800200
West Ham,Burnley,1,0,True,False,0.78,0.88,2.65,2.78,3.91,4.16,1610809200
Leeds,Brighton,0,1,False,True,1.27,1.32,2.52,2.65,2.16,2.27,1610809200
